nsam[0]:	nsam[1]:	nsam[2]:	nsam[3]:	nsam[4]:	nsam[5]:	nsam[6]:	nsam[7]:	nsam[8]:	nsam[9]:	nsam[10]:	nsam[11]:	nsam[12]:	nsam[13]:	nsam[14]:	nsam[15]:	nsam[16]:	nsam[17]:	nsam[18]:	nsam[19]:	nsam[20]:	nsam[21]:	nsam[22]:	nsam[23]:	nsam[24]:	nsam[25]:	nsam[26]:	nsam[27]:	nsam[28]:	nsam[29]:	nsam[30]:	nsam[31]:	nsam[32]:	nsam[33]:	nsam[34]:	nsam[35]:	nsam[36]:	nsam[37]:	nsam[38]:	nsam[39]:	nsam[40]:	nsam[41]:	nsam[42]:	nsam[43]:	nsam[44]:	nsam[45]:	nsam[46]:	nsam[47]:	nsam[48]:	nsam[49]:	nsam[50]:	Eff_length2_pop_outg[0]:	Eff_length2_pop_outg[1]:	Eff_length2_pop_outg[2]:	Eff_length2_pop_outg[3]:	Eff_length2_pop_outg[4]:	Eff_length2_pop_outg[5]:	Eff_length2_pop_outg[6]:	Eff_length2_pop_outg[7]:	Eff_length2_pop_outg[8]:	Eff_length2_pop_outg[9]:	Eff_length2_pop_outg[10]:	Eff_length2_pop_outg[11]:	Eff_length2_pop_outg[12]:	Eff_length2_pop_outg[13]:	Eff_length2_pop_outg[14]:	Eff_length2_pop_outg[15]:	Eff_length2_pop_outg[16]:	Eff_length2_pop_outg[17]:	Eff_length2_pop_outg[18]:	Eff_length2_pop_outg[19]:	Eff_length2_pop_outg[20]:	Eff_length2_pop_outg[21]:	Eff_length2_pop_outg[22]:	Eff_length2_pop_outg[23]:	Eff_length2_pop_outg[24]:	Eff_length2_pop_outg[25]:	Eff_length2_pop_outg[26]:	Eff_length2_pop_outg[27]:	Eff_length2_pop_outg[28]:	Eff_length2_pop_outg[29]:	Eff_length2_pop_outg[30]:	Eff_length2_pop_outg[31]:	Eff_length2_pop_outg[32]:	Eff_length2_pop_outg[33]:	Eff_length2_pop_outg[34]:	Eff_length2_pop_outg[35]:	Eff_length2_pop_outg[36]:	Eff_length2_pop_outg[37]:	Eff_length2_pop_outg[38]:	Eff_length2_pop_outg[39]:	Eff_length2_pop_outg[40]:	Eff_length2_pop_outg[41]:	Eff_length2_pop_outg[42]:	Eff_length2_pop_outg[43]:	Eff_length2_pop_outg[44]:	Eff_length2_pop_outg[45]:	Eff_length2_pop_outg[46]:	Eff_length2_pop_outg[47]:	Eff_length2_pop_outg[48]:	Eff_length2_pop_outg[49]:	Theta(Taj)[0]:	Theta(Taj)[1]:	Theta(Taj)[2]:	Theta(Taj)[3]:	Theta(Taj)[4]:	Theta(Taj)[5]:	Theta(Taj)[6]:	Theta(Taj)[7]:	Theta(Taj)[8]:	Theta(Taj)[9]:	Theta(Taj)[10]:	Theta(Taj)[11]:	Theta(Taj)[12]:	Theta(Taj)[13]:	Theta(Taj)[14]:	Theta(Taj)[15]:	Theta(Taj)[16]:	Theta(Taj)[17]:	Theta(Taj)[18]:	Theta(Taj)[19]:	Theta(Taj)[20]:	Theta(Taj)[21]:	Theta(Taj)[22]:	Theta(Taj)[23]:	Theta(Taj)[24]:	Theta(Taj)[25]:	Theta(Taj)[26]:	Theta(Taj)[27]:	Theta(Taj)[28]:	Theta(Taj)[29]:	Theta(Taj)[30]:	Theta(Taj)[31]:	Theta(Taj)[32]:	Theta(Taj)[33]:	Theta(Taj)[34]:	Theta(Taj)[35]:	Theta(Taj)[36]:	Theta(Taj)[37]:	Theta(Taj)[38]:	Theta(Taj)[39]:	Theta(Taj)[40]:	Theta(Taj)[41]:	Theta(Taj)[42]:	Theta(Taj)[43]:	Theta(Taj)[44]:	Theta(Taj)[45]:	Theta(Taj)[46]:	Theta(Taj)[47]:	Theta(Taj)[48]:	Theta(Taj)[49]:	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1.000000	0.000000	2.000000	167.000000	81.000000	81.000000	2.000000	1.000000	3.000000	2.000000	42.000000	103.000000	6.000000	83.000000	4.000000	121.000000	1.000000	2.000000	1.000000	133.000000	114.000000	5.000000	4.000000	3.000000	64.000000	4.000000	3.000000	124.000000	3.000000	4.000000	4.000000	2.000000	84.000000	2.000000	83.000000	85.000000	2.000000	2.000000	2.000000	3.000000	3.000000	16.000000	5.000000	3.000000	110.000000	121.000000	4.000000	0.000000	120.000000	1.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	5.000000	25.000000	1.000000	1.000000	2.000000	1.000000	44.000000	0.000000	63.000000	2.000000	0.000000	3.000000	4.000000	0.000000	129.000000	5.000000	8.000000	65.000000	3.000000	2.000000	64.000000	1.000000	115.000000	73.000000	2.000000	6.000000	1.000000	54.000000	127.000000	3.000000	3.000000	5.000000	6.000000	3.000000	8.000000	3.000000	1.000000	7.000000	32.000000	1.000000	2.000000	2.000000	2.000000	4.000000	2.000000	1.000000	71.000000	54.000000	12.000000	3.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	3.000000	4.000000	3.000000	139.000000	3.000000	4.000000	50.000000	3.000000	7.000000	60.000000	2.000000	142.000000	7.000000	7.000000	3.000000	2.000000	4.000000	1.000000	1.000000	150.000000	60.000000	144.000000	3.000000	7.000000	79.000000	61.000000	4.000000	3.000000	4.000000	60.000000	4.000000	2.000000	2.000000	2.000000	3.000000	47.000000	4.000000	17.000000	61.000000	3.000000	7.000000	2.000000	7.000000	4.000000	1.000000	5.000000	2.000000	5.000000	5.000000	0.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	5.000000	1.000000	204.000000	21.000000	106.000000	5.000000	1.000000	142.000000	69.000000	1.000000	2.000000	4.000000	2.000000	1.000000	3.000000	1.000000	62.000000	4.000000	167.000000	4.000000	2.000000	204.000000	1.000000	95.000000	62.000000	3.000000	63.000000	64.000000	3.000000	1.000000	0.000000	5.000000	169.000000	3.000000	162.000000	2.000000	204.000000	0.000000	1.000000	3.000000	3.000000	67.000000	89.000000	16.000000	68.000000	5.000000	205.000000	1.000000	1.000000	18.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	10.000000	66.000000	2.000000	9.000000	1.000000	87.000000	1.000000	4.000000	1.000000	31.000000	2.000000	3.000000	87.000000	4.000000	2.000000	11.000000	3.000000	3.000000	93.000000	2.000000	5.000000	118.000000	182.000000	183.000000	3.000000	4.000000	3.000000	1.000000	72.000000	2.000000	1.000000	53.000000	10.000000	5.000000	1.000000	3.000000	3.000000	79.000000	0.000000	31.000000	2.000000	136.000000	2.000000	1.000000	90.000000	4.000000	4.000000	4.000000	2.000000	122.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	24.000000	5.000000	75.000000	82.000000	4.000000	3.000000	99.000000	142.000000	1.000000	3.000000	62.000000	139.000000	182.000000	1.000000	87.000000	5.000000	82.000000	2.000000	71.000000	84.000000	3.000000	223.000000	85.000000	69.000000	64.000000	84.000000	71.000000	48.000000	83.000000	4.000000	82.000000	148.000000	91.000000	87.000000	85.000000	75.000000	84.000000	90.000000	2.000000	83.000000	1.000000	164.000000	82.000000	132.000000	4.000000	58.000000	83.000000	2.000000	82.000000	86.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	2.000000	1.000000	256.000000	2.000000	23.000000	2.000000	2.000000	2.000000	165.000000	2.000000	4.000000	3.000000	82.000000	3.000000	3.000000	2.000000	131.000000	1.000000	4.000000	98.000000	77.000000	2.000000	2.000000	80.000000	3.000000	8.000000	22.000000	123.000000	5.000000	80.000000	2.000000	2.000000	2.000000	4.000000	256.000000	15.000000	80.000000	85.000000	3.000000	1.000000	126.000000	269.000000	177.000000	2.000000	123.000000	16.000000	177.000000	125.000000	1.000000	80.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	3.000000	116.000000	2.000000	20.000000	4.000000	27.000000	117.000000	2.000000	2.000000	2.000000	3.000000	1.000000	193.000000	3.000000	2.000000	113.000000	3.000000	167.000000	1.000000	22.000000	211.000000	4.000000	31.000000	3.000000	6.000000	4.000000	97.000000	2.000000	2.000000	48.000000	9.000000	6.000000	2.000000	2.000000	103.000000	2.000000	24.000000	65.000000	1.000000	28.000000	1.000000	183.000000	5.000000	25.000000	2.000000	3.000000	4.000000	5.000000	211.000000	1.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	91.000000	3.000000	2.000000	1.000000	56.000000	4.000000	119.000000	1.000000	5.000000	115.000000	2.000000	1.000000	206.000000	55.000000	5.000000	117.000000	1.000000	125.000000	1.000000	1.000000	3.000000	93.000000	2.000000	2.000000	123.000000	2.000000	58.000000	3.000000	27.000000	132.000000	126.000000	3.000000	1.000000	21.000000	132.000000	6.000000	88.000000	127.000000	20.000000	0.000000	1.000000	79.000000	117.000000	2.000000	125.000000	131.000000	4.000000	117.000000	1.000000	38.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	176.000000	93.000000	49.000000	45.000000	0.000000	45.000000	2.000000	6.000000	2.000000	4.000000	5.000000	2.000000	4.000000	45.000000	2.000000	1.000000	152.000000	42.000000	87.000000	81.000000	4.000000	15.000000	4.000000	82.000000	4.000000	59.000000	3.000000	35.000000	82.000000	45.000000	56.000000	76.000000	87.000000	214.000000	3.000000	1.000000	6.000000	43.000000	46.000000	78.000000	78.000000	45.000000	41.000000	45.000000	2.000000	4.000000	7.000000	2.000000	9.000000	50.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	3.000000	7.000000	84.000000	1.000000	3.000000	1.000000	3.000000	5.000000	3.000000	7.000000	5.000000	2.000000	15.000000	1.000000	8.000000	6.000000	3.000000	4.000000	3.000000	101.000000	100.000000	2.000000	3.000000	2.000000	2.000000	4.000000	2.000000	7.000000	66.000000	5.000000	3.000000	3.000000	1.000000	114.000000	105.000000	5.000000	6.000000	4.000000	38.000000	2.000000	3.000000	2.000000	3.000000	5.000000	2.000000	4.000000	7.000000	3.000000	6.000000	6.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	0.000000	87.000000	89.000000	138.000000	90.000000	1.000000	91.000000	224.000000	179.000000	2.000000	4.000000	7.000000	89.000000	91.000000	8.000000	0.000000	5.000000	3.000000	90.000000	5.000000	88.000000	87.000000	88.000000	196.000000	2.000000	89.000000	200.000000	90.000000	3.000000	61.000000	115.000000	4.000000	116.000000	90.000000	92.000000	1.000000	115.000000	93.000000	1.000000	2.000000	118.000000	88.000000	90.000000	88.000000	93.000000	93.000000	91.000000	3.000000	89.000000	201.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	2.000000	3.000000	109.000000	3.000000	2.000000	3.000000	34.000000	3.000000	3.000000	1.000000	69.000000	33.000000	19.000000	55.000000	88.000000	54.000000	6.000000	2.000000	1.000000	3.000000	2.000000	2.000000	3.000000	4.000000	0.000000	3.000000	2.000000	78.000000	2.000000	5.000000	4.000000	10.000000	4.000000	8.000000	3.000000	1.000000	0.000000	2.000000	2.000000	3.000000	12.000000	2.000000	1.000000	6.000000	12.000000	34.000000	103.000000	97.000000	3.000000	4.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	79.000000	3.000000	47.000000	108.000000	83.000000	77.000000	2.000000	48.000000	129.000000	2.000000	46.000000	106.000000	3.000000	47.000000	144.000000	3.000000	168.000000	77.000000	46.000000	2.000000	125.000000	3.000000	1.000000	75.000000	45.000000	2.000000	28.000000	6.000000	4.000000	36.000000	1.000000	183.000000	1.000000	47.000000	3.000000	3.000000	76.000000	4.000000	0.000000	51.000000	2.000000	64.000000	1.000000	49.000000	32.000000	90.000000	47.000000	5.000000	0.000000	96.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	3.000000	207.000000	208.000000	210.000000	156.000000	117.000000	194.000000	25.000000	210.000000	144.000000	15.000000	96.000000	196.000000	5.000000	209.000000	29.000000	3.000000	210.000000	217.000000	58.000000	67.000000	56.000000	156.000000	207.000000	200.000000	212.000000	56.000000	20.000000	49.000000	85.000000	1.000000	65.000000	4.000000	186.000000	177.000000	211.000000	206.000000	55.000000	4.000000	2.000000	155.000000	56.000000	3.000000	196.000000	119.000000	184.000000	3.000000	208.000000	208.000000	42.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1.000000	1.000000	2.000000	3.000000	30.000000	3.000000	5.000000	4.000000	2.000000	3.000000	2.000000	36.000000	0.000000	6.000000	1.000000	4.000000	0.000000	4.000000	6.000000	2.000000	79.000000	3.000000	5.000000	121.000000	176.000000	4.000000	47.000000	55.000000	46.000000	46.000000	4.000000	5.000000	6.000000	1.000000	69.000000	3.000000	58.000000	0.000000	7.000000	3.000000	66.000000	3.000000	4.000000	62.000000	2.000000	3.000000	4.000000	41.000000	2.000000	2.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	95.000000	134.000000	4.000000	3.000000	5.000000	132.000000	8.000000	7.000000	79.000000	6.000000	211.000000	282.000000	205.000000	163.000000	6.000000	6.000000	88.000000	6.000000	7.000000	46.000000	4.000000	41.000000	4.000000	61.000000	134.000000	130.000000	6.000000	197.000000	41.000000	143.000000	8.000000	89.000000	49.000000	46.000000	50.000000	3.000000	2.000000	163.000000	131.000000	49.000000	88.000000	6.000000	5.000000	24.000000	72.000000	3.000000	60.000000	134.000000	137.000000	7.000000	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	1000000.00	200.000000	5.000000	6.000000	49.000000	22.000000	5.000000	4.000000	133.000000	178.000000	3.000000	2.000000	57.000000	4.000000	1.000000	2.000000	56.000000	2.000000	185.000000	59.000000	3.000000	25.000000	8.000000	55.000000	3.000000	45.000000	228.000000	6.000000	5.000000	154.000000	5.000000	4.000000	0.000000	215.000000	228.000000	5.000000	2.000000	3.000000	2.000000	6.000000	54.000000	54.000000	0.000000	77.000000	4.000000	5.000000	4.000000	5.000000	56.000000	176.000000	1.000000	
